Message;IsSpam
"Поздравляем, вы выиграли приз!";true
"Ваш аккаунт заблокирован, сбросьте пароль";true
"Сегодня состоится собрание в 16:00";false
"Ваш заказ доставлен, спасибо за покупку";false
"Специальное предложение только для вас! Закажите прямо сейчас!";true
"Ваш отчет готов, проверьте прикрепленный файл.";false
"Вы должны срочно подтвердить свою личность!";true
"Ваш платеж успешно обработан. Спасибо за использование нашего сервиса.";false
"Получите бесплатный подарок, нажмите здесь!";true
"Напоминание: Встреча завтра в 10:00.";false
"У меня к вам есть деловое предложение!";false